codigo_inep,unidade,ibge_sector_code_2022,sector_population_2022,responsible_income_mean_nominal_monthly_brl,responsible_income_median_nominal_monthly_brl,V06004_sector_percentile_unweighted,match_tier,match_method
35248514,EMEIEF Prada,352690205000011,210,6944.33,5000,93.5,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35243620,"EMEIEF Waldemar Lucato, Dr.",352690205000439,395,2726.96,2000,46.7,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35448047,"CI Aldelena Baraldi Fonseca Santos, Profa.",352690205000269,643,2803.14,2500,49.4,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35204936,CI Carolina Guilhermina Schnoor Bohianza,352690205000567,57,1740.24,1212,4.9,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35204924,CI Caroline Pardo Campos Freire,352690205000271,836,2838.7,2200,51.1,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35462445,"CI Célia Regina Sciarra, Profa.",352690205000615,305,3071.73,2400,60.2,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35060525,"EMEI Célio Sampaio Silva, Prof.",352690205000071,666,4029.91,3000,80.9,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35006372,CI Jonas Pereira Britto,352690205000444,613,3511.54,2800,72.3,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35470624,CI Claudinor José Cardoso Jr.,352690205000880,512,3459.04,2500,71.4,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35275050,CI Dinah Bertolini de Moraes,352690205000247,657,2438.95,2000,34.1,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35084888,CI Fábio Franco de Oliveira,352690205000145,404,2014.4,1800,14.1,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
35090931,CI Irene Gomes Bortolan,352690205000203,472,1535.14,1280,2.8,B,B_SAME_STREET_NAMED_CNEFE_SCHOOL_NUMBER_MISSING
35204948,CI João Ari Cason,352690205000283,615,3854.21,2000,78.8,A,A_CIE_INEP_PLUS_EXACT_CURRENT_SME_ADDRESS_TO_UNIQUE_CNEFE_SECTOR
