edition,publication_date,source_id,document_url
7229,2026-04-25,LIMEIRA_JO_07229,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_24042026170017.pdf
7230,2026-04-28,LIMEIRA_JO_07230,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_27042026165543.pdf
7231,2026-04-29,LIMEIRA_JO_07231,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_28042026191256.pdf
7232,2026-04-30,LIMEIRA_JO_07232,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_29042026213932.pdf
7242,2026-05-15,LIMEIRA_JO_07242,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_14052026204226.pdf
7243,2026-05-16,LIMEIRA_JO_07243,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_15052026170037.pdf
7244,2026-05-19,LIMEIRA_JO_07244,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_18052026165408.pdf
7245,2026-05-20,LIMEIRA_JO_07245,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_19052026165538.pdf
7246,2026-05-21,LIMEIRA_JO_07246,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_20052026170333.pdf
7247,2026-05-22,LIMEIRA_JO_07247,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_21052026204414.pdf
7248,2026-05-23,LIMEIRA_JO_07248,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_22052026214313.pdf
7249,2026-05-26,LIMEIRA_JO_07249,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_25052026190245.pdf
7250,2026-05-27,LIMEIRA_JO_07250,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_26052026165645.pdf
7251,2026-05-28,LIMEIRA_JO_07251,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_27052026165914.pdf
7252,2026-05-29,LIMEIRA_JO_07252,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_28052026182833.pdf
7253,2026-05-30,LIMEIRA_JO_07253,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_29052026170754.pdf
7262,2026-06-13,LIMEIRA_JO_07262,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_12062026165249.pdf
7263,2026-06-16,LIMEIRA_JO_07263,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_15062026181556.pdf
7264,2026-06-17,LIMEIRA_JO_07264,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_16062026165115.pdf
7265,2026-06-18,LIMEIRA_JO_07265,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_17062026164426.pdf
7266,2026-06-19,LIMEIRA_JO_07266,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_18062026165756.pdf
7267,2026-06-20,LIMEIRA_JO_07267,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_19062026170411.pdf
7268,2026-06-23,LIMEIRA_JO_07268,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_22062026170735.pdf
7269,2026-06-24,LIMEIRA_JO_07269,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_23062026170055.pdf
7270,2026-06-25,LIMEIRA_JO_07270,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_24062026170131.pdf
7271,2026-06-26,LIMEIRA_JO_07271,https://ecrie.com.br/Sistema/Conteudos/DiarioOficial/upload/u_137_25062026173303.pdf
